시군명	기관구분명	기관명	소재지지번주소	소재지도로명주소	소재지우편번호	WGS84위도	WGS84경도	전화번호	홈페이지URL	입소정원수(명)	입소현원수(명)	종사자정원수(명)	종사자현원수(명)	설치신고일	법인명정보
가평군	지적장애인시설	가난한마음의집	경기도 가평군 상면 율길리 747번지	경기도 가평군 상면 수역길 119	12441	37.82391965	127.2869853	031-585-3210	http://www.마음의집.com/	29	26	21	20	2013-02-06	마음의집
가평군	지적장애인시설	꽃동네은총의집	경기도 가평군 조종면 운악리 540-6번지	경기도 가평군 조종면 꽃동네길 53-13	12432	37.88372962	127.3503833	031-589-0188	www.kkotgp.or.kr	30	30	33	31	2012-04-04	(재)예수의꽃동네유지재단
가평군	지적장애인시설	성 빈센트 환경마을	경기도 가평군 조종면 신하리 45-3번지	경기도 가평군 조종면 연인산로 308	12436	37.83879135	127.367802	031-585-9066	www.vincentvillage.co.kr	29	29	21	21	2005-02-03	서울가톨릭사회복지회
고양시	지적장애인시설	꿈나무의집	경기도 고양시 일산동구 설문동 492번지	경기도 고양시 일산동구 은마길79번길 113	10252	37.7170388	126.8025988	031-977-3452	http://꿈나무의집.kr/	26	25	8	8	2007-04-09	개인
고양시	지적장애인시설	늘사랑의집	경기도 고양시 덕양구 관산동 551-5번지	경기도 고양시 덕양구 통일로1018번길 112-6	10265	37.7097902	126.8613966	031-962-5391	http://ver2.iloveall.or.kr/	29	21	8	8	2012-01-20	개인
고양시	지적장애인시설	벧엘의집	경기도 고양시 일산동구 사리현동 444-2번지	경기도 고양시 일산동구 공릉천로71번길 107-29	10260	37.6990401	126.839204	031-962-2788	www.bethelhouse.co.kr	29	29	22	20	2006-01-31	한국벧엘복지재단
고양시	지적장애인시설	사랑의동산	경기도 고양시 덕양구 행주외동 178-5번지	경기도 고양시 덕양구 행주산성로116번길 8	10440	37.6003909	126.8194335	031-970-2754	http://lovegardens.modoo.at	29	20	8	8	2011-09-15	개인
고양시	시각장애인시설	소망복지원	경기도 고양시 덕양구 벽제동 548-1번지	경기도 고양시 덕양구 보광로 130	10267	37.72655744	126.9083505	031-963-7862	http://www.smolove.com/	29	21	9	8	2006-11-14	개인
고양시	지적장애인시설	애덕의 집	경기도 고양시 덕양구 벽제동 486번지	경기도 고양시 덕양구 혜음로 284	10271	37.7245929	126.895397	031-962-4450	www.aduck.or.kr	55	54	42	42	1991-09-14	사회복지법인애덕의집
고양시	지적장애인시설	천사의집	경기도 고양시 덕양구 고양동 421-1번지	경기도 고양시 덕양구 동헌로 363-18	10273	37.70827976	126.8933364	031-963-6506	www.031-963-6506.kti114.net	29	29	12	12	2009-03-26	개인
고양시	지적장애인시설	홀트일산복지타운	경기도 고양시 일산서구 탄현동 41-1번지	경기도 고양시 일산서구 탄현로 42	10249	37.6956768	126.7728475	031-914-6632	www.holtilsan.or.kr	50	41	40	40	1960-12-15	홀트아동복지회
광명시	지적장애인시설	광명사랑의집	경기도 광명시 광명동 585번지	경기도 광명시 원광명안로 6-17	14283	37.4617408	126.8534332	02-2614-2211	www.kmlh.com	29	24	12	12	2012-11-22	개인
광주시	지적장애인시설	동산원	경기도 광주시 탄벌동 674-1번지	경기도 광주시 사기막길95번길 59	12748	37.413692	127.2257594	031-764-6892	www.dongsanwon.org	94	75	57	53	1994-12-30	사회복지법인 한국발달장애복지센터
광주시	지적장애인시설	베다니동산	경기도 광주시 곤지암읍 수양리 377-2번지	경기도 광주시 곤지암읍 경충대로295번길 161	12813	37.3222961	127.3693809	031-762-0670	https://blog.naver.com/PostView.nhn?blogId=qpekslehdtks&logNo=220963261972	22	21	13	13	2022-04-08	사회복지법인 밀알복지재단
광주시	지적장애인시설	소망의 동산	경기도 광주시 초월읍 신월리 10-7번지	경기도 광주시 초월읍 숯골길65번길 29-3	12729	37.3958381	127.3222174	031-762-8379	www.	26	14	6	4	2002-08-14	개인
광주시	지적장애인시설	은혜동산	경기도 광주시 초월읍 신월리 588-2번지	경기도 광주시 초월읍 산수로 409-60	12729	37.397175	127.307282	031-763-8646	https://band.us/band/57957166	29	21	9	8	2005-08-02	개인
광주시	지적장애인시설	향림재활원	경기도 광주시 곤지암읍 연곡리 81-2번지	경기도 광주시 곤지암읍 광여로 555-58	12722	37.3725415	127.3958848	031-763-2456	http://hyanglim.or.kr	60	53	39	37	1986-05-13	사회복지법인 향림원
구리시	지적장애인시설	구리샬롬의집	경기도 구리시 갈매동 179-3번지	경기도 구리시 금강로 56	11900	37.6415796	127.1182576	031-573-0022	www.gurishalom.com	29	24	21	17	2005-07-27	평강복지재단
